ENS_GENEID	geneSymbol
ENSRNOG00000002227	Kit
ENSRNOG00000002224	Yipf7
ENSRNOG00000002225	Scarb2
ENSRNOG00000030149	Adgrl3
ENSRNOG00000038572	Ncapg
ENSRNOG00000054570	U4
ENSRNOG00000057494	AABR07014739.1
ENSRNOG00000058679	SNORD21
ENSRNOG00000060007	AC131411.3
ENSRNOG00000030568	Rgs12
ENSRNOG00000058316	AABR07015956.1
ENSRNOG00000055215	AABR07015784.1
ENSRNOG00000046611	Dzip1-ps1
ENSRNOG00000005016	Tmed4
ENSRNOG00000047177	Vom2r65
ENSRNOG00000059915	SNORA19
ENSRNOG00000022631	Fgf5
ENSRNOG00000031397	Stk32b
ENSRNOG00000055589	AABR07014524.1
ENSRNOG00000052053	U7
ENSRNOG00000056778	AABR07015040.1
ENSRNOG00000017259	Tacc3
ENSRNOG00000014785	Ykt6
ENSRNOG00000011096	Hmgb3
ENSRNOG00000060547	U6
ENSRNOG00000014098	Pold2
ENSRNOG00000023026	Fbxo48
ENSRNOG00000032647	LOC100363333
ENSRNOG00000003606	RGD1561381
ENSRNOG00000003600	Pnpt1
ENSRNOG00000048835	RGD1561226
ENSRNOG00000008898	Trmt44
ENSRNOG00000002553	Smim14
ENSRNOG00000005105	Sun3
ENSRNOG00000012378	Dbnl
ENSRNOG00000053716	SNORA17
ENSRNOG00000042419	Acyp2
ENSRNOG00000061022	AC108312.2
ENSRNOG00000033686	Rpl38
ENSRNOG00000061025	AABR07015467.1
ENSRNOG00000061029	U6
ENSRNOG00000060080	7SK
ENSRNOG00000061848	U4
ENSRNOG00000009935	Xpo1
ENSRNOG00000061840	7SK
ENSRNOG00000049446	LOC100363068
ENSRNOG00000008917	Ehbp1
ENSRNOG00000028108	Cytl1
ENSRNOG00000002075	Cnot6l
ENSRNOG00000002074	Rest
ENSRNOG00000002073	Brdt
ENSRNOG00000002070	Mrpl1
ENSRNOG00000002079	Mapk10
ENSRNOG00000055299	AABR07016365.1
ENSRNOG00000046925	LOC100909936
